"Lokalitet";"habitat";"ano_flate_id";"ano_punkt_id";"combi";"Lat";"lon";"method";"sample";"sampling_scheme";"extraction_method";"sample_weight";"seq_depth";"variable";"species";"value"
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"ryllik_achillea_millefolium";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"tyrihjelm_aconitum_lycoctonum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"engkvein_agrostis_capillaris";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"fjellmarikåpe_alchemilla_alpina";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"marikåpe_alchemilla_sp";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skarmarikåpe_alchemilla_wichurae";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"hvitløk_allium_sativum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"svartor_alnus_glutinosa";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"engreverumpe_alopecurus_pratensis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"hvitlyng_andromeda_polifolia";0
